,name,position,initial_fee,sell_on_fee,sell_on_profit,highest_fee,increase % (max)
0,Sergio Agüero,Forward,24.74,45.6,20.86,45.6,184.3168957154406
1,Gonzalo Higuaín,Forward,13.68,40.01,26.33,102.6,750.0
2,Ángel Di María,Midfield,9.12,33.86,24.74,85.5,937.5
3,Paulo Dybala,Forward,13.57,45.6,32.03,45.6,336.0353721444362
4,James Rodríguez,Midfield,8.44,46.17,37.73,85.5,1013.0331753554502
5,Radamel Falcao,Forward,6.19,41.04,34.85,49.0,791.5993537964458
6,Javier Pastore,Midfield,7.98,47.88,39.9,47.88,600.0
7,Javier Mascherano,Midfield,13.45,14.98,1.53,25.65,190.70631970260223
8,Carlos Tevez,Forward,15.39,14.98,-0.41,29.75,193.30734243014945
9,Diego Forlán,Forward,11.28,3.28,-8.0,21.55,191.04609929078015
